1.89, CXI, 6ZI4
1.89, ID23-1, 4ZYH
1.89, X06SA, 5O5L
1.89, CXI, 5O4C
1.89, CXI, 6ZI5
1.89, X06SA, 5A0M
1.89, 17-ID-2, 7KU0
1.89, X06SA, 5A0W
1.89, XALOC, 7ZTX
1.89, X06SA, 6FB2
1.8843, ?, 8FJ8
1.884244, 8.2.2, 3GOD
1.8814, 14.1, 6QV4
1.881, I04, 5N56
1.88, X06SA, 6H5A
1.88, BL-17A, 7EXB
1.87856, 14.2, 3MFT
1.87856, 14.2, 3MFU
1.8785, 17-ID-1, 7V0W
1.8785, I02, 5MFU
1.8785, I23, 9FZ6
1.87287, X06SA, 6G2R
1.87287, X06SA, 5MUC
1.87287, X06SA, 6G2S
1.87, 23-ID-B, 6TYO
1.87, 23-ID-D, 6P4M
1.87, 23-ID-B, 6TYN
1.87, 23-ID-B, 6P4N
1.86, 5.0.2, 8VA9
1.86, ?, 1QJJ
1.86, I03, 5MM0
1.85053, 14.1, 3P3O
1.85051, ID23-1, 6TSQ
1.85051, ID23-1, 6TSR
1.8505, ID29, 3HFW
1.85001, ID23-1, 6QKA
1.85001, ID23-1, 6H24
1.85, BL-17A, 7DNM
1.85, ID23-1, 5JTB
1.85, 24-ID-C, 6NWX
1.85, ID23-1, 5JRF
1.85, ID23-1, 5JSI
1.85, 5.0.2, 7JHI
1.85, 22-BM, 6MW5
1.85, 5.0.2, 2NN7
1.85, 21-ID-D, 4D8G
1.85, ID23-1, 5JGP
1.85, BL12-2, 8FZA
1.85, 21-ID-D, 4D8F
1.8461, 19-ID, 1M9S
1.846, I04, 4AFP
1.846, BM30A, 1UUF
1.8458, 23-ID-B, 3V5U
1.8457, X06DA, 3KLT
1.8456, 24-ID-C, 4QJH
1.8456, I04, 4AFP
1.8456, X8C, 1R14
1.8455, BL9-2, 2R0C
1.8455, 19-ID, 1M9S
1.8455, I02, 3MWP
1.8454, 14.1, 4LXR
1.8453, 8.2.1, 1Z2N
1.8453, 8.2.1, 1Z2P
1.845, F2, 1QU1
1.845, X8C, 1R14
1.845, 5ID-B, 1LT7
1.845, 24-ID-C, 5KTJ
1.8449, X06DA, 3KLT
1.8449, BM16, 2PUS
1.8448, 14.1, 4LXR
1.8447, BL9-2, 2R0C
1.8447, I02, 3MWP
1.8445, 24-ID-C, 4QJH
1.8445, 24-ID-C, 5KTJ
1.8443, 24-ID-C, 3T4G
1.8443, ID23-1, 4L3A
1.84402, ID23-1, 4D3X
1.844, 17-ID, 1XR5
1.84178, ?, 5IE3
1.84, 24-ID-C, 3DIM
1.84, 24-ID-C, 3DIX
1.84, ID29, 1UOC
1.8369, PROXIMA 2, 5OPD
1.83, PROXIMA 2, 6ZK8
1.83, CXI, 5J7A
1.82331, X06DA, 5A67
1.8233, PROXIMA 1, 4G9S
1.8233, PROXIMA 1, 5O5Z
1.8233, I03, 5D0O
1.8233, I04, 5N7Z
1.8233, P11, 6GY8
1.8233, X06DA, 3PH5
1.8233, PROXIMA 1, 4D3G
1.823, 14.2, 6EJU
1.823, I03, 6Y6G
1.82, ID23-1, 2Y7P
1.817, X11, 4DO2
1.8137, I04, 4B5H
1.81, I04, 2WO3
1.81, 8.2.1, 3L24
1.805, I04, 4AFP
